date | value
2010-11-33 | 51.05
2011-12-31 | 26.96
2011-03-20 | 76.03
2011-04-27 | 19.2
2011-02-09 | 15.29
2011-11-28 | 97.63
2011-06-25 
2011-03-26 | 93.65
2011-05-24 | 68.2
2011-12-31 | 2147483648
2011-11-12 | 67.85
2011-08-06 | 39.92
2011-05-11 | 12.21
2011-12-06 | 76.09
2011-10-31 | 99.92
2011-08-19 | 49.42
2011-03-24 | 48.58
2011-03-09 | 49.85
2011-09-19 | 1.61
2011-05-15 | 19.32
2011-08-03 | 36.68
2011-06-24 | 78.34
2011-06-16 | 32.73
2011-08-14 | 34.41
2011-02-22 | 61.66
2011-03-29 | 75.0
2011-10-01 | 44.26
2011-06-11 | 19.68
2011-06-26 | 79.08
2011-12-22 | 74.53
2011-06-07 | 18.29
2011-07-20 | 85.24
2011-07-15 | 48.97
2011-09-22 | 74.08
2011-07-30 | 36.47
2011-02-13 | 50.05
2011-09-08 | 98.03
2011-05-25 | 31.7
2011-08-08 | 83.7
2011-11-19 | 89.88
2011-05-30 | 86.22
2011-01-09 | 56.89
2011-08-28 | 57.51
2011-12-09 | 61.39
2011-10-23 | 23.85
2011-12-30 | 52.4
2011-01-23 | 58.8
2011-02-06 | 97.91
2011-12-19 | 62.12
2011-04-30 | 97.61
2011-02-17 | 52.91
2011-05-16 | 73.19
2011-04-15 | 6.51
2011-09-01 | 93.6
2011-07-23 | 31.2
2011-12-25 | 43.56
2011-12-05 | 88.54
2011-03-04 | 66.13
2011-11-22 | 44.0
2011-07-12 | 2.13
2011-12-11 | 7.44
2011-06-16 | 8.92
2011-02-09 | 90.31
2011-09-08 | 9.67
2011-02-04 | 80.14
2011-12-04 | 28.44
2011-03-01 | 77.22
2011-04-13 | 73.55
2011-07-11 | 13.33
2011-05-30 | 41.17
2011-09-04 | 22.75
2011-08-26 | 78.95
2011-03-26 | 47.99
2011-10-05 | 9.02
2011-12-17 | 60.02
2011-06-07 | 81.11
2011-08-06 | 61.36
2011-11-24 | 69.96
2011-05-04 | 74.98
2011-10-21 | 37.58
2011-02-05 | 63.89
2011-04-08 | 28.73
2011-11-23 | 26.48
2011-10-08 | 58.05
2011-01-07 | 17.62
2011-06-11 | 98.9
2011-04-23 | 71.42
2011-05-05 | 51.21
2011-05-24 | 68.27
2011-07-28 | 92.09
2011-06-14 | 19.36
2011-11-07 | 68.09
2011-01-19 | 75.27
2011-01-28 | 95.63
2011-08-14 | 93.62
2011-03-17 | 37.51
2011-02-27 | 88.63
2011-04-03 | 38.02
2011-10-03 | 63.53
2011-09-10 | 7.99
