date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2013-05-22 | 5
2013-05-22 | 3.14
2013-05-22 | 2
2013-05-22 | 0.5
2013-05-22 | 7
2013-05-22 | 10
2013-05-22 | 1000
2013-05-22 | 0.1
2013-05-22 | 25
2013-05-22 | 8.7
2013-05-22 | 15
2013-05-22 | 4.3
2013-05-22 | 6
2013-05-22 | 9.8
2013-05-22 | 12.5
2013-05-22 | 11
2013-05-22 | 13.2
2013-05-22 | 16
2013-05-22 | 18.9
2013-05-22 | 20
2013-05-22 | 22.3
2013-05-22 | 24.6
2013-05-22 | 26
2013-05-22 | 28.5
2013-05-22 | 30
2013-05-22 | 32.8
2013-05-22 | 35
2013-05-22 | 37.2
2013-05-22 | 39.4
2013-05-22 | 41.6
2013-05-22 | 43.8
2013-05-22 | 46
2013-05-22 | 48.2
2013-05-22 | 50.4
2013-05-22 | 52.6
2013-05-22 | 54.8
2013-05-22 | 57
2013-05-22 | 59.2
2013-05-22 | 61.4
2013-05-22 | 63.6
2013-05-22 | 65.8
2013-05-22 | 68
2013-05-22 | 70.2
2013-05-22 | 72.4
2013-05-22 | 74.6
2013-05-22 | 76.8
2013-05-22 | 79
2013-05-22 | 81.2
2013-05-22 | 83.4
2013-05-22 | 85.6
2013-05-22 | 87.8
2013-05-22 | 90
2013-05-22 | 92.2
2013-05-22 | 94.4
2013-05-22 | 96.6
2013-05-22 | 98.8
2013-05-22 | 100
2013-05-22 | 102.2
2013-05-22 | 104.4
2013-05-22 | 106.6
2013-05-22 | 108.8
2013-05-22 | 111
2013-05-22 | 113.2
2013-05-22 | 115.4
2013-05-22 | 117.6
2013-05-22 | 119.8
2013-05-22 | 122
2013-05-22 | 124.2
2013-05-22 | 126.4
2013-05-22 | 128.6
2013-05-22 | 130.8
2013-05-22 | 133
2013-05-22 | 135.2
2013-05-22 | 137.4
2013-05-22 | 139.6
2013-05-22 | 141.8
2013-05-22 | 144
2013-05-22 | 146.2
2013-05-22 | 148.4
2013-05-22 | 150.6
2013-05-22 | 152.8
2013-05-22 | 155
2013-05-22 | 157.2
2013-05-22 | 159.4
2013-05-22 | 161.6
2013-05-22 | 163.8
2013-05-22 | 166
2013-05-22 | 168.2
2013-05-22 | 170.4
2013-05-22 | 172.6
2013-05-22 | 174.8
2013-05-22 | 177
2013-05-22 | 179.2
2013-05-22 | 181.4
2013-05-22 | 183.6
2013-05-22 | 185.8
2013-05-22 | 188
2013-05-22 | 190.2
2013-05-22 | 192.4
2013-05-22 | 194.6
2013-05-22 | 196.8
2013-05-22 | 199
2013-05-22 | 201.2
